arbeidsplassen	NAV Arbeidsplassen	job_board	general norway	https://arbeidsplassen.nav.no/stillinger
finn	FINN Jobb	job_board	general norway	https://www.finn.no/job/search
webcruiter	Webcruiter	job_board	general public-sector norway	https://candidate.webcruiter.com/nb-no/Home/alladverts#search
jobbnorge	Jobbnorge	job_board	research public-sector norway	https://www.jobbnorge.no/search/en
linkedin	LinkedIn Jobs	job_board	professional job-alerts	https://www.linkedin.com/jobs/
indeed	Indeed Norway	job_board	general norway	https://no.indeed.com/
the-hub	The Hub	job_board	startups nordics technology	https://thehub.io/jobs
teknojobb	Teknojobb	job_board	technology engineering norway	https://www.teknojobb.no/
kode24-jobb	Kode24 jobs	job_board	software technology norway	https://www.kode24.no/jobb
tu-jobb	TU Jobb	job_board	engineering technology norway	https://www.tu.no/jobb
academic-positions	Academic Positions	job_board	research academic norway	https://academicpositions.com/jobs/country/norway
euraxess	EURAXESS Jobs	job_board	research fellowships europe	https://euraxess.ec.europa.eu/jobs
eures	EURES	job_board	general europe mobility	https://eures.europa.eu/jobseekers_en
jobbsafari	Jobbsafari Norway	job_board	general norway	https://www.jobbsafari.no/
careerjet	Careerjet Norway	job_board	general norway	https://www.careerjet.no/
jobbi	Jobbi	job_board	general norway	https://www.jobbi.no/
medrec	Medrec	job_board	health norway	https://www.medrec.no/
karriere-start	KarriereStart	job_board	graduate internships norway	https://karrierestart.no/
graduateland	Graduateland	job_board	graduate internships europe	https://graduateland.com/
european-job-days	European Job Days	job_board	events mobility europe	https://europeanjobdays.eu/en/events
work-in-norway	Work in Norway	job_board	guidance mobility norway	https://www.workinnorway.no/
oslo-business-region	Oslo Business Region	job_board	startups ecosystem oslo	https://oslobusinessregion.no/
equinor	Equinor	employer	energy engineering data	https://www.equinor.com/careers
dnv	DNV	employer	engineering data research	https://jobs.dnv.com/
tieto	Tieto	employer	consulting technology data	https://careers.tieto.com/
google	Google	employer	ai software cloud	https://www.google.com/about/careers/applications/
autostore	AutoStore	employer	robotics software engineering	https://www.autostoresystem.com/careers
cognite	Cognite	employer	ai data industrial-software	https://www.cognite.com/en/company/careers
bekk	Bekk	employer	consulting software data	https://jobs.lever.co/bekk
netlight	Netlight	employer	consulting software	https://jobs.lever.co/netlight
crayon	Crayon	employer	cloud data ai	https://job-boards.greenhouse.io/crayon
sopra-steria	Sopra Steria	employer	consulting data ai	https://careers.soprasteria.no/jobs
bouvet	Bouvet	employer	consulting data software	https://www.bouvet.no/ledige-stillinger
statkraft	Statkraft	employer	energy trading data	https://www.statkraft.com/careers/
tomra	TOMRA	employer	robotics machine-learning recycling	https://www.tomra.com/careers
kongsberg	KONGSBERG	employer	engineering robotics software	https://www.kongsberg.com/careers/
aker-solutions	Aker Solutions	employer	energy engineering	https://www.akersolutions.com/careers/
telenor	Telenor	employer	telecom data ai	https://www.telenor.com/career/open-positions/
telenor-cyberdefence	Telenor Cyberdefence	employer	cybersecurity technology	https://jobs.telenorcyberdefence.com/jobs
storebrand	Storebrand	employer	finance insurance data	https://www.storebrand.no/om-storebrand/jobb-i-storebrand
dnb	DNB	employer	finance data ai	https://www.dnb.no/om-oss/jobb-og-karriere
nordea	Nordea	employer	finance data technology	https://www.nordea.com/en/careers
capgemini	Capgemini	employer	consulting data ai	https://www.capgemini.com/no-no/careers/
accenture	Accenture	employer	consulting data ai	https://www.accenture.com/no-en/careers
microsoft	Microsoft	employer	software ai cloud	https://careers.microsoft.com/
schibsted	Schibsted	employer	media software data	https://schibsted.com/career/
statnett	Statnett	employer	energy infrastructure data	https://www.statnett.no/karriere/
sintef	SINTEF	research	research mathematics ai	https://www.sintef.no/en/sintef-group/career/vacant-positions/
ntnu	NTNU	research	university phd mathematics ai	https://www.ntnu.edu/vacancies
remarkable	reMarkable	employer	software hardware machine-learning	https://jobs.remarkable.com/
oda	Oda	employer	logistics data software	https://careers.oda.com/
kahoot	Kahoot!	employer	edtech software data	https://kahoot.com/jobs/
opera	Opera	employer	software ai browsers	https://jobs.opera.com/
vipps-mobilepay	Vipps MobilePay	employer	fintech software data	https://vippsmobilepay.com/en/careers
visma	Visma	employer	software data cloud	https://www.visma.com/careers
tripletex	Tripletex	employer	software finance	https://www.tripletex.no/karriere/
fiken	Fiken	employer	software finance	https://fiken.no/jobb
poweroffice	PowerOffice	employer	software finance	https://www.poweroffice.no/karriere/
xledger	Xledger	employer	software finance cloud	https://xledger.com/no/karriere/
24sevenoffice	24SevenOffice	employer	software finance ai	https://24sevenoffice.com/no/karriere
tripadvisor	Tripadvisor	employer	travel software data	https://careers.tripadvisor.com/
amazon	Amazon / AWS	employer	cloud ai software	https://www.amazon.jobs/en/locations/norway
ibm	IBM	employer	consulting ai cloud	https://www.ibm.com/careers
oracle	Oracle	employer	cloud data software	https://www.oracle.com/careers/
cisco	Cisco	employer	networking software cybersecurity	https://jobs.cisco.com/
salesforce	Salesforce	employer	cloud ai software	https://careers.salesforce.com/
sap	SAP	employer	software consulting data	https://jobs.sap.com/
spotify	Spotify	employer	media machine-learning software	https://www.lifeatspotify.com/jobs
siemens	Siemens	employer	engineering ai industrial	https://www.siemens.com/no/no/selskap/jobb-og-karriere.html
abb	ABB	employer	robotics engineering automation	https://careers.abb/global/en
ericsson	Ericsson	employer	telecom software research	https://www.ericsson.com/en/careers
nokia	Nokia	employer	telecom software research	https://www.nokia.com/about-us/careers/
nordic-semiconductor	Nordic Semiconductor	employer	semiconductors embedded ai	https://www.nordicsemi.com/About-us/Career
silicon-labs	Silicon Labs	employer	semiconductors embedded software	https://www.silabs.com/about-us/careers
arm	Arm	employer	semiconductors machine-learning software	https://careers.arm.com/
texas-instruments	Texas Instruments	employer	semiconductors engineering	https://careers.ti.com/
microchip	Microchip Technology	employer	semiconductors embedded software	https://www.microchip.com/en-us/about/careers
nordic-vlsi	Nordic VLSI / Novelda	employer	sensors engineering embedded	https://novelda.com/careers/
elliptic-labs	Elliptic Labs	employer	machine-learning sensors software	https://ellipticlabs.com/careers/
disruptive-technologies	Disruptive Technologies	employer	iot sensors software	https://www.disruptive-technologies.com/careers
airthings	Airthings	employer	iot sensors data	https://www.airthings.com/careers
easee	Easee	employer	energy software embedded	https://easee.com/en/careers/
zaptec	Zaptec	employer	energy embedded software	https://zaptec.com/careers/
tibber	Tibber	employer	energy data software	https://jobs.tibber.com/
fjordkraft	Fjordkraft	employer	energy analytics	https://www.fjordkraft.no/om-fjordkraft/jobb-hos-oss/
volue	Volue	employer	energy data software	https://careers.volue.com/
gelato	Gelato	employer	software logistics data	https://www.gelato.com/careers
sanity	Sanity	employer	software data content	https://www.sanity.io/careers
superside	Superside	employer	ai design software	https://www.superside.com/careers
pexip	Pexip	employer	software video machine-learning	https://www.pexip.com/careers
neat	Neat	employer	software hardware video	https://neat.no/careers/
whereby	Whereby	employer	software video	https://whereby.com/information/careers/
simula	Simula Research Laboratory	research	ai mathematics software	https://www.simula.no/careers
simula-met	SimulaMet	research	ai networks research	https://www.simulamet.no/careers
spacemaker	Autodesk Norway	employer	ai architecture software	https://www.autodesk.com/careers
spoor	Spoor	employer	computer-vision ai environment	https://spoor.ai/careers
heimdall-power	Heimdall Power	employer	energy sensors analytics	https://heimdallpower.com/careers/
sensio	Sensio	employer	healthtech software	https://www.sensio.io/careers
aidn	Aidn	employer	healthtech software data	https://aidn.no/karriere
noisolation	No Isolation	employer	robotics edtech software	https://www.noisolation.com/careers
nofence	Nofence	employer	agritech embedded data	https://careers.nofence.no/
halodi	1X Technologies	employer	robotics ai software	https://www.1x.tech/careers
wheel-me	wheel.me	employer	robotics software	https://www.wheel.me/careers
zivid	Zivid	employer	computer-vision robotics	https://www.zivid.com/careers
bitreactive	Bitreactive	employer	iot software	https://www.bitreactive.com/
arundo	Arundo Analytics	employer	industrial ai data	https://www.arundo.com/careers
presight	Presight Solutions	employer	data software energy	https://www.presight.com/career/
databutton	Databutton	employer	ai software startups	https://databutton.com/
boost-ai	boost.ai	employer	ai conversational software	https://boost.ai/careers/
boost-innovation	Boost Innovation	employer	ai software	https://boost.ai/
iris-ai	Iris.ai	employer	ai research nlp	https://iris.ai/careers/
lingu	Lingu	employer	edtech ai languages	https://lingu.no/karriere
kantega	Kantega	employer	consulting ai software	https://www.kantega.no/jobb
knowit	Knowit	employer	consulting data ai	https://www.knowit.no/karriere/
itera	Itera	employer	consulting data ai	https://www.itera.com/en/join-us
twoday	twoday	employer	consulting data ai	https://www.twoday.no/karriere
webstep	Webstep	employer	consulting data software	https://www.webstep.no/karriere/
miles	Miles	employer	consulting software data	https://www.miles.no/karriere/
variant	Variant	employer	consulting software design	https://www.variant.no/jobb
computas	Computas	employer	consulting ai cloud	https://computas.com/karriere/
itera-norway	Itera Norway opportunities	opportunity	consulting graduate norway	https://www.itera.com/no/karriere
netcompany	Netcompany	employer	consulting software	https://netcompany.com/careers/
cegal	Cegal	employer	energy data cloud	https://www.cegal.com/en/careers
ate a	Atea	employer	cloud infrastructure consulting	https://www.atea.no/karriere/
advania	Advania	employer	cloud infrastructure consulting	https://www.advania.no/karriere
intility	Intility	employer	cloud infrastructure software	https://intility.no/karriere/
evidi	Evidi	employer	cloud data consulting	https://www.evidi.com/karriere
aventia	Avanade	employer	consulting ai cloud	https://www.avanade.com/en/career
orange-business	Orange Business	employer	cloud data telecom	https://www.orange-business.com/en/careers
orange-cyberdefense	Orange Cyberdefense	employer	cybersecurity software	https://jobs.orangecyberdefense.com/
mnemonic	mnemonic	employer	cybersecurity software ai	https://www.mnemonic.io/company/careers/
defendable	Defendable	employer	cybersecurity consulting	https://defendable.no/karriere/
conscia	Conscia Norway	employer	cybersecurity infrastructure	https://conscia.com/no/karriere/
sysco	Sopra Steria / SYSCO	employer	energy cloud consulting	https://www.sysco.no/karriere
capra	Capra Consulting	employer	software cloud consulting	https://www.capraconsulting.no/karriere
